plate,ID,dil,batch
parce lys 2023.03.09 plate 18,459,1,1
parce lys 2023.03.09 plate 18,460,1,1
parce lys 2023.03.09 plate 18,461,1,1
parce lys 2023.03.09 plate 18,462,1,1
parce lys 2023.03.09 plate 18,463,1,1
parce lys 2023.03.09 plate 18,NA,1,1
parce lys 2023.03.09 plate 18,NA,1,1
parce lys 2023.03.09 plate 18,NA,1,1
parce lys 2023.03.09 plate 18,NA,1,1
parce lys 2023.03.09 plate 18,NA,1,1
